1711035410,UP,78,69,13266,29473,14504,4260,2309,5258
1711035410,UP,74,66,72729,26962,3629,6551,8518,5143
1711035411,UP,60,57,41980,43998,1827,7155,3388,3424
1711035412,UP,60,50,9998,21384,5534,4821,3240,3914
1711035413,UP,53,54,38641,35738,24262,8560,4930,3243
1711035414,UP,56,61,160161,12439,11811,13515,21955,8501
1711035415,UP,51,74,23786,38092,8302,16565,3068,2199
1711035416,UP,48,61,260375,98787,570,14187,18501,8984
1711035417,UP,54,61,29656,27825,22136,11711,7304,6234
1711035418,UP,44,63,38284,25222,9550,16636,10483,3360
1711035419,Calibration,61,61,5734,9155,2697,10866,12691,6683
1711035420,Calibration,64,83,46040,18078,24733,12825,5042,6203
1711035421,Calibration,61,70,1311374,264885,49181,20225,35506,22128
1711035422,Calibration,70,74,22084,20195,10854,15214,4006,11336
1711035423,Calibration,69,63,162712,18482,1455,4005,2931,6003
1711035424,Calibration,60,48,286619,94007,15181,7903,2675,3713
1711035461,,35,40,358816,22053,3928,2486,1063,816
1711035462,Calibration,44,43,25656,30900,10874,10443,8211,10861
1711035463,Calibration,60,54,13733,18427,16437,10371,8601,4117
1711035464,Calibration,57,53,193432,18132,750,1929,1256,3449
1711035465,Calibration,78,56,596217,23485,14691,2548,10063,13755
1711035466,Segundito,75,50,172972,55235,8897,6782,4562,9799
1711035467,Segundito,64,26,595966,197801,2741,12854,27971,7037
1711035468,Segundito,66,26,21339,30651,3829,1483,4277,6308
1711035469,Segundito,47,29,57912,98425,49340,12136,20168,4694
1711035470,Segundito,40,37,19000,12286,5771,1638,2908,1148
1711035471,Segundito,47,48,157328,22004,4778,1046,2230,2129
1711035472,Segundito,41,53,38180,21767,4149,1107,870,2195
1711035473,Segundito,41,47,58515,94932,14492,13135,10838,3603
1711035474,Segundito,44,50,23432,20333,19445,4268,11113,3837
1711035475,Segundito,47,47,172079,33145,3358,3360,7271,4162
1711035476,Segundito,43,37,603976,302241,10058,13904,9677,13820
1711035477,Segundito,41,26,504888,455412,34352,7045,8365,13707
1711035478,Segundito,40,35,75227,38842,71462,32720,12349,10258
1711035479,Segundito,44,50,140032,22876,16805,14362,8330,11247
1711035480,Segundito,53,66,140056,57908,35955,3807,20918,11597
1711035481,Segundito,61,80,604841,66040,11550,20771,15815,7921
1711035482,Segundito,61,63,347221,28326,3394,6694,2864,3036
1711035483,Segundito,54,67,33867,16056,41167,2812,11452,4808
1711035484,Segundito,50,57,77876,18531,871,2407,1493,1499
1711035485,Segundito,47,63,171120,149107,111173,16239,45050,16186
1711035486,Segundito,48,69,47029,9044,3466,3702,4555,1582
1711035487,Segundito,47,67,29388,29024,36853,8938,5712,4854
1711035488,Segundito,54,78,60746,35015,13535,12331,12034,11074
1711035489,Segundito,66,61,310808,62002,5759,4459,12423,18226
1711035490,Segundito,75,61,16454,26148,18343,10348,16391,16797
1711035491,Segundito,88,50,15176,20271,4092,8936,3472,9938
1711035492,Segundito,83,53,13682,18732,9603,6840,6992,3682
1711035493,Segundito,64,61,72279,74598,17584,4942,2860,2481
1711035494,Segundito,60,57,23047,18774,5139,5896,5214,4882
1711035495,Segundito,47,56,43650,32395,3539,6758,4511,2372
1711035496,Segundito,50,50,153077,43308,16240,11668,28124,10872
1711035497,Segundito,48,57,1628,38728,17316,17112,16395,1593
1711035498,Segundito,47,60,46207,26013,4990,10009,5895,5805
1711035499,Segundito,50,61,9694,29954,3954,13594,17283,4075
1711035500,Segundito,48,75,35017,9145,16718,10499,9130,3632
1711035501,Segundito,60,88,37354,2287,29097,4083,5556,3138
1711035502,Segundito,56,88,28855,25441,4756,12226,11171,4576
1711035503,Segundito,54,93,38679,42066,36048,3941,5163,6584
1711035504,Segundito,50,67,219869,40657,4372,344,2806,2648
1711035505,Segundito,47,54,22082,29224,21998,3013,5596,2818
1711035506,Segundito,48,60,4624,11502,13156,1343,6743,3311
1711035507,Segundito,60,60,18879,8612,12236,4832,8215,7170
1711035508,Segundito,56,80,8902,36868,25970,18914,10558,2862
1711035509,Segundito,60,74,21337,20981,8752,1679,8737,2760
1711035510,Segundito,56,70,10183,16674,5351,12448,9901,3102
1711035511,Segundito,48,63,15588,24048,6588,7381,11624,4131
1711035512,Segundito,53,63,15400,26620,14468,20537,16956,3976
1711035513,Segundito,44,66,214545,49570,21290,3622,2123,2354
1711035514,Segundito,44,57,209338,49712,6328,17915,27156,7291
1711035515,Segundito,34,60,82843,144533,68105,4736,14196,5601
1711035516,Segundito,38,48,52705,15804,1485,3104,2383,2524
1711035517,Segundito,51,53,26613,12863,8983,7384,7416,3901
1711035518,Segundito,54,53,4238,44170,7920,14404,11374,12092
1711035519,Segundito,66,56,18490,47582,40943,9713,27380,9876
1711035520,Segundito,70,61,155014,8414,1178,4212,3324,3264
1711035521,Segundito,69,51,17936,71285,17198,5900,16420,9621
1711035522,Segundito,63,56,26370,36332,15691,10092,4033,4927
1711035523,Segundito,57,54,109520,49335,16025,15713,17233,3862
1711035524,Segundito,44,56,273028,19138,4293,5797,2569,1336
1711035525,Segundito,44,69,17860,31052,35950,12484,3795,7749
1711035526,Segundito,48,69,46442,36487,7913,21391,7408,8477
1711035527,Segundito,51,69,7102,49548,20256,5102,1647,6028
1711035528,Segundito,63,66,42814,19614,4673,8379,20255,5809
1711035529,Segundito,60,61,20177,17609,9891,3660,4406,2539
1711035530,Segundito,61,57,8861,38542,14008,8526,4948,8545
1711035531,Segundito,70,61,30795,10465,9012,4644,4337,6438
1711035532,Segundito,64,69,64829,42514,35854,3928,10244,7166
1711035533,Segundito,75,67,36914,9591,2883,9963,10146,5512
1711035534,Segundito,60,66,694599,186011,67482,9684,19774,6515
1711035535,Segundito,56,66,41612,12150,14002,5094,6831,6330
1711035536,Segundito,61,64,10817,23883,15799,6470,4308,7130
1711035537,Segundito,53,69,8380,40670,29887,17162,5696,8129
1711035538,Segundito,67,77,676504,39989,17251,18222,1902,9416
1711035539,Segundito,57,70,70430,76437,26239,12458,14039,6232
1711035540,Segundito,56,74,66195,8933,2848,6232,1576,2095
1711035541,Segundito,48,69,170907,27245,15890,4752,2722,1594
1711035542,Segundito,47,67,169595,6549,2675,3146,1572,1241
1711035543,Segundito,44,70,568434,88619,33790,23425,9473,6636
1711035544,Segundito,37,50,185027,59065,1714,4750,8435,3479
1711035545,Segundito,56,44,163345,9678,331,13137,14783,8412
1711035546,Segundito,57,38,27188,82456,37323,6695,26725,13995
1711035547,Segundito,60,27,1005940,100878,11439,7022,7305,6359
1711035548,Segundito,69,40,13348,25098,4198,7424,2466,7293
1711035549,Segundito,54,47,11216,41335,22993,11432,5322,5009
